[TRACE] 20:31:21 • [DependencyControl] Lock was released after 50 ms.
[TRACE] 20:31:21 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.159136 seconds so far...
[TRACE] 20:31:21 • [DependencyControl] DependencyControl initialization took 0.163578 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.913461 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.914212 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.914985 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.915730 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.916477 seconds so far...
[TRACE] 20:31:22 • [DependencyControl] DependencyControl initialization took 0.917731 seconds so far...
