[TRACE] 19:41:37 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:37 • [DependencyControl] DependencyControl initialization took 0.034468 seconds so far...
[TRACE] 19:41:37 • [DependencyControl] DependencyControl initialization took 0.036263 seconds so far...
[TRACE] 19:41:37 • [DependencyControl] DependencyControl initialization took 0.121879 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.680134 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.681727 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.682400 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.683193 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.746851 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.747951 seconds so far...
