[TRACE] 22:11:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.050852 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.052365 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.054000 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.146354 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.147863 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.149327 seconds so far...
[TRACE] 22:11:38 • [DependencyControl] DependencyControl initialization took 0.150807 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.240911 seconds so far...
[TRACE] 22:11:39 • [DependencyControl] DependencyControl initialization took 1.241795 seconds so far...
