[TRACE] 19:42:37 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.082963 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.085354 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.089355 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.585298 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.587703 seconds so far...
[TRACE] 19:42:37 • [DependencyControl] DependencyControl initialization took 0.590278 seconds so far...
[TRACE] 19:42:38 • [DependencyControl] DependencyControl initialization took 0.655476 seconds so far...
[TRACE] 19:42:38 • [DependencyControl] DependencyControl initialization took 0.656327 seconds so far...
[TRACE] 19:42:38 • [DependencyControl] DependencyControl initialization took 0.657405 seconds so far...
