[TRACE] 19:57:45 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.509741 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.510652 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.511533 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.513467 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.514091 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.514807 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.827495 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.828576 seconds so far...
