[TRACE] 19:47:16 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:47:16 • [DependencyControl] DependencyControl initialization took 0.267628 seconds so far...
[TRACE] 19:47:16 • [DependencyControl] DependencyControl initialization took 0.269115 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.832294 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.833560 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.835744 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.836656 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.838160 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.839123 seconds so far...
[TRACE] 19:47:17 • [DependencyControl] DependencyControl initialization took 0.839905 seconds so far...
