[TRACE] 19:53:18 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.102323 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.104599 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.105496 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.106487 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.107711 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.108841 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.109822 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.110788 seconds so far...
[TRACE] 19:53:18 • [DependencyControl] DependencyControl initialization took 1.111717 seconds so far...
