[TRACE] 19:57:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:44 • [DependencyControl] DependencyControl initialization took 0.103485 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.105868 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.107296 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.108785 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.110200 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.111756 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.611369 seconds so far...
[TRACE] 19:57:45 • [DependencyControl] DependencyControl initialization took 0.612061 seconds so far...
