[TRACE] 19:57:13 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.501957 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.503505 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.506065 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.507705 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.508423 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.509128 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.510166 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.511689 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.512431 seconds so far...
