[TRACE] 19:44:54 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.289953 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.292126 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.295069 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.609506 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.610418 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.611235 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.612174 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.669392 seconds so far...
[TRACE] 19:44:54 • [DependencyControl] DependencyControl initialization took 0.670250 seconds so far...
