[TRACE] 19:00:09 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:00:09 • [DependencyControl] DependencyControl initialization took 0.150567 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.516783 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.517507 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.518215 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.578407 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.579195 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.640135 seconds so far...
[TRACE] 19:00:10 • [DependencyControl] DependencyControl initialization took 0.697931 seconds so far...
