[TRACE] 19:41:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.136759 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.451972 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.452711 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.453385 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.454090 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.454792 seconds so far...
[TRACE] 19:41:39 • [DependencyControl] DependencyControl initialization took 1.131079 seconds so far...
[TRACE] 19:41:39 • [DependencyControl] DependencyControl initialization took 1.139113 seconds so far...
