[TRACE] 20:06:44 • [DependencyControl] Lock was released after 150 ms.
[TRACE] 20:06:44 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.207875 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.208734 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.209445 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.210252 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.211175 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.212170 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.213286 seconds so far...
[TRACE] 20:06:44 • [DependencyControl] DependencyControl initialization took 0.214242 seconds so far...
