[TRACE] 19:57:12 • [DependencyControl] Waiting for config file lock to be released (250 ms passed)... 
[TRACE] 19:57:12 • [DependencyControl] Waiting for config file lock to be released (500 ms passed)... 
[TRACE] 19:57:12 • [DependencyControl] Lock was released after 600 ms.
[TRACE] 19:57:12 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.815898 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.817179 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.818012 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.818773 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.819606 seconds so far...
[TRACE] 19:57:12 • [DependencyControl] DependencyControl initialization took 0.820389 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.254270 seconds so far...
[TRACE] 19:57:13 • [DependencyControl] DependencyControl initialization took 1.255175 seconds so far...
