[TRACE] 20:31:59 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.648974 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.651289 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.652099 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.652941 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.653694 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.654605 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.655606 seconds so far...
[TRACE] 20:31:59 • [DependencyControl] DependencyControl initialization took 0.656498 seconds so far...
