[TRACE] 19:41:38 • [DependencyControl] Couldn't find config file 'G:\Aegisub Old\Light-Aegisub\Aegisub 3.2.2\config\l0.FileOps.json'.
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.318665 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.319915 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.322221 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.322987 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.323686 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.324338 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.639447 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.640262 seconds so far...
[TRACE] 19:41:38 • [DependencyControl] DependencyControl initialization took 0.641304 seconds so far...
